_id,_start,_end,_type,rating,roles,summary
,1.0,0.0,ACTED_IN,,"[""Neo""]",
,2.0,0.0,ACTED_IN,,"[""Trinity""]",
,3.0,0.0,ACTED_IN,,"[""Morpheus""]",
,4.0,0.0,ACTED_IN,,"[""Agent Smith""]",
,5.0,0.0,DIRECTED,,,
,6.0,0.0,DIRECTED,,,
,7.0,0.0,PRODUCED,,,
,171.0,8.0,KNOWS,,,
,1.0,9.0,ACTED_IN,,"[""Neo""]",
,2.0,9.0,ACTED_IN,,"[""Trinity""]",
,3.0,9.0,ACTED_IN,,"[""Morpheus""]",
,4.0,9.0,ACTED_IN,,"[""Agent Smith""]",
,5.0,9.0,DIRECTED,,,
,6.0,9.0,DIRECTED,,,
,7.0,9.0,PRODUCED,,,
,1.0,10.0,ACTED_IN,,"[""Neo""]",
,2.0,10.0,ACTED_IN,,"[""Trinity""]",
,3.0,10.0,ACTED_IN,,"[""Morpheus""]",
,4.0,10.0,ACTED_IN,,"[""Agent Smith""]",
,5.0,10.0,DIRECTED,,,
,6.0,10.0,DIRECTED,,,
,7.0,10.0,PRODUCED,,,
,1.0,11.0,ACTED_IN,,"[""Kevin Lomax""]",
,12.0,11.0,ACTED_IN,,"[""Mary Ann Lomax""]",
,13.0,11.0,ACTED_IN,,"[""John Milton""]",
,14.0,11.0,DIRECTED,,,
,16.0,15.0,ACTED_IN,,"[""Lt. Daniel Kaffee""]",
,17.0,15.0,ACTED_IN,,"[""Col. Nathan R. Jessup""]",
,18.0,15.0,ACTED_IN,,"[""Lt. Cdr. JoAnne Galloway""]",
,19.0,15.0,ACTED_IN,,"[""Capt. Jack Ross""]",
,20.0,15.0,ACTED_IN,,"[""Lt. Jonathan Kendrick""]",
,21.0,15.0,ACTED_IN,,"[""Cpl. Jeffrey Barnes""]",
,22.0,15.0,ACTED_IN,,"[""Cpl. Carl Hammaker""]",
,23.0,15.0,ACTED_IN,,"[""Lt. Sam Weinberg""]",
,24.0,15.0,ACTED_IN,,"[""Lt. Col. Matthew Andrew Markinson""]",
,25.0,15.0,ACTED_IN,,"[""Pfc. Louden Downey""]",
,26.0,15.0,ACTED_IN,,"[""Dr. Stone""]",
,28.0,15.0,ACTED_IN,,"[""Man in Bar""]",
,27.0,15.0,DIRECTED,,,
,28.0,15.0,WROTE,,,
,16.0,29.0,ACTED_IN,,"[""Maverick""]",
,30.0,29.0,ACTED_IN,,"[""Charlie""]",
,31.0,29.0,ACTED_IN,,"[""Iceman""]",
,32.0,29.0,ACTED_IN,,"[""Goose""]",
,33.0,29.0,ACTED_IN,,"[""Viper""]",
,34.0,29.0,ACTED_IN,,"[""Carole""]",
,35.0,29.0,DIRECTED,,,
,36.0,29.0,WROTE,,,
,16.0,37.0,ACTED_IN,,"[""Jerry Maguire""]",
,22.0,37.0,ACTED_IN,,"[""Rod Tidwell""]",
,38.0,37.0,ACTED_IN,,"[""Dorothy Boyd""]",
,39.0,37.0,ACTED_IN,,"[""Avery Bishop""]",
,40.0,37.0,ACTED_IN,,"[""Frank Cushman""]",
,41.0,37.0,ACTED_IN,,"[""Bob Sugar""]",
,42.0,37.0,ACTED_IN,,"[""Laurel Boyd""]",
,43.0,37.0,ACTED_IN,,"[""Marcee Tidwell""]",
,44.0,37.0,ACTED_IN,,"[""Ray Boyd""]",
,45.0,37.0,DIRECTED,,,
,45.0,37.0,PRODUCED,,,
,45.0,37.0,WROTE,,,
,49.0,46.0,ACTED_IN,,"[""Gordie Lachance""]",
,47.0,46.0,ACTED_IN,,"[""Chris Chambers""]",
,40.0,46.0,ACTED_IN,,"[""Vern Tessio""]",
,48.0,46.0,ACTED_IN,,"[""Teddy Duchamp""]",
,50.0,46.0,ACTED_IN,,"[""Denny Lachance""]",
,20.0,46.0,ACTED_IN,,"[""Ace Merrill""]",
,51.0,46.0,ACTED_IN,,"[""Mr. Lachance""]",
,27.0,46.0,DIRECTED,,,
,17.0,52.0,ACTED_IN,,"[""Melvin Udall""]",
,53.0,52.0,ACTED_IN,,"[""Carol Connelly""]",
